argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.411702293744222,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,104,0.0,1,nan,22.362628936767578,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3506866349737363,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,104,0.0,1,nan,13.773433685302734,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.375686311620188,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,14.14310359954834,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.357669273388215,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,14.182256698608398,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3113541154977284,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,104,0.0,1,nan,13.548357009887695,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3535327333165355,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,104,0.0,1,nan,13.8735990524292,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.405940739098394,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,13.636523246765137,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3884652340061607,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,1,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,104,0.0,1,nan,14.066508293151855,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.2473054206298992,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,104,0.0,1,nan,13.666269302368164,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,6,step_up,1,3.3604273066540062,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,1,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,104,0.0,1,nan,16.067426681518555,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,13,step_up,1,4.002857014512863,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,146,0.0,1,nan,19.607458114624023,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,13,step_up,1,4.019499070713218,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,2,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,146,0.0,1,nan,23.46010398864746,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,13,step_up,1,4.2037960468810995,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,2,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,146,0.0,1,nan,18.335325241088867,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,13,step_up,1,3.5012682333621745,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,2,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,146,0.0,1,nan,16.518911361694336,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,13,step_up,1,4.002025533093058,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,2,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,146,0.0,1,nan,19.92167854309082,,hold,2.0,5.0,0.0,
