argv,drift_max_m,entry_frame,entry_offset,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,0,1.7761677901872175,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.945418357849121,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,0,1.6862106347598043,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.941489219665527,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,0,1.4595532923480012,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.94144058227539,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,1.8519218254090075,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,17.194902420043945,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,1.8285782609355563,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.944395065307617,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,1.6261702051880547,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,16.161664962768555,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,2.2370683985698583,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.947580337524414,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,2.332514980522757,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.94681167602539,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,2.1786493555505886,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.954095840454102,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 1 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment off --trace-npz outputs/yawm/trace_sA1.npz --results-csv outputs/yawm/ladder_frames.csv,,1,1,step_up,1,15.835486594529291,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.940218925476074,,off,nan,0.0,0.0,
