argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 8 --yaw-moment off,115.8949902177934,0.02,0.5263157894736842,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,57,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,3.846153846153846,0.0,contact,off,0.0,roll,1.12,0.2335892766714096,0.26589035987854004,off,nan,0.0,0.0,TROT,27.071826934814453
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 12 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,363.83158947357015,0.02,0.4946808510638298,rule,0,on,0,heading-only,23.700000762939453,0.1276595744680851,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,23.7,roll,0.92,0.15539099276065826,0.35109296441078186,hold,2.0,5.0,0.0,TROT,56.53615188598633
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 8 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,50.455416635799615,0.02,0.4956896551724138,rule,0,on,0,heading-only,23.700000762939453,0.13793103448275862,TROT,TROT,FAIL,,,58,,0,,0,2026-09-01T07:43:28Z,hold,1,0,1,off,0,3.846153846153846,0.0,contact,off,23.7,roll,1.1400000000000001,0.19752642512321472,0.2790028750896454,hold,2.0,5.0,0.0,TROT,9.966278076171875
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 15 --yaw-moment off,33.5788486227999,0.02,0.5331858407079646,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,113,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,0.9615384615384615,0.0,contact,off,0.0,roll,2.24,0.2166830152273178,-0.14454928040504456,off,nan,0.0,0.0,TROT,-7.275966167449951
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 14 --yaw-moment off,422.1668981352132,0.02,0.5055555555555555,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,45,,0,,0,2026-09-01T07:43:29Z,hold,1,0,1,off,0,2.7777777777777777,0.0,contact,off,0.0,roll,0.88,0.15706820785999298,0.3643498718738556,off,nan,0.0,0.0,TROT,66.30899810791016
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 22 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,13.549932993604815,0.02,0.5122950819672131,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,61,,0,,0,2026-09-01T07:44:00Z,hold,1,0,1,off,0,2.1739130434782608,0.0,contact,off,11.656244,roll,1.2,0.2770906686782837,0.37494683265686035,hold,2.0,5.0,0.0,TROT,3.7545599937438965
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 18 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,112.23706815017535,0.02,0.49074074074074076,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,54,,0,,0,2026-09-01T07:44:00Z,hold,1,0,1,off,0,2.0833333333333335,0.0,contact,off,12.464283,roll,1.06,0.20678626000881195,0.3267374038696289,hold,2.0,5.0,0.0,TROT,-23.209083557128906
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 18 --yaw-moment off,125.33329903416944,0.02,0.5,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,54,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,2.0833333333333335,0.0,contact,off,0.0,roll,1.06,0.199266254901886,0.3089515268802643,off,nan,0.0,0.0,TROT,-24.97469711303711
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 23 --yaw-moment off,5.027468314888983,0.02,0.4975247524752475,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,101,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.6129032258064517,0.0,contact,off,0.0,roll,2.0,0.405661940574646,-0.23020070791244507,off,nan,0.0,0.0,TROT,2.03945255279541
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 21 --yaw-moment off,100.1049198371906,0.02,0.49603174603174605,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,126,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,0.6944444444444444,0.0,contact,off,0.0,roll,2.5,0.2302553951740265,0.1985877901315689,off,nan,0.0,0.0,TROT,23.049697875976562
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 21 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,31.031723735613816,0.02,0.5291878172588832,rule,0,on,0,heading-only,23.700000762939453,0.005076142131979695,TROT,TROT,ok,,,197,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.5873015873015872,0.0,contact,off,23.7,roll,3.92,0.2401106059551239,0.11392544209957123,hold,2.0,5.0,0.0,TROT,7.451045989990234
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 19 --yaw-moment off,2011.1771241394645,0.02,0.5396825396825397,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,63,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,1.24,-0.006794152781367302,0.3076474070549011,off,nan,0.0,0.0,TROT,13.664244651794434
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 19 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,370.46163809515497,0.02,0.5053191489361702,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,1.7857142857142856,0.0,contact,off,15.325117,roll,0.92,0.06829120218753815,0.42751938104629517,hold,2.0,5.0,0.0,TROT,-25.299270629882812
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 20 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,64.0328446336425,0.02,0.540650406504065,rule,0,on,0,heading-only,23.700000762939453,0.032520325203252036,TROT,TROT,FAIL,,,123,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,1.2987012987012987,0.0,contact,off,23.7,roll,2.44,0.14253735542297363,-0.10553079098463058,hold,2.0,5.0,0.0,TROT,-9.12707233428955
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 20 --yaw-moment off,43.88277179855425,0.02,0.4868421052631579,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,95,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,0.9803921568627451,0.0,contact,off,0.0,roll,1.8800000000000001,0.16407112777233124,-0.14071418344974518,off,nan,0.0,0.0,TROT,7.199895858764648
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 22 --yaw-moment off,27.333979410991997,0.02,0.4870689655172414,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,58,,0,,0,2026-09-01T07:44:01Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,1.1400000000000001,0.24638545513153076,0.39377468824386597,off,nan,0.0,0.0,TROT,-6.734694957733154
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 23 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,43.829624450010186,0.02,0.4789473684210526,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,95,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.6129032258064517,0.0,contact,off,14.162348,roll,1.8800000000000001,0.3549861013889313,-0.21586748957633972,hold,2.0,5.0,0.0,TROT,15.558907508850098
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 16 --yaw-moment off,2.7200663689002313,0.02,0.552,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,0.0,,,0.6652265191078186,0.04675320163369179,off,nan,0.0,0.0,TROT,1.8094602823257446
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 17 --yaw-moment off,2.813796979591288,0.02,0.553375,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,0.0,,,0.6649360060691833,0.04662014916539192,off,nan,0.0,0.0,TROT,1.8709949254989624
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 17 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,0.0038744778207890876,0.02,0.55425,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,13.903454,,,0.6649251580238342,0.04734581708908081,hold,2.0,5.0,0.0,TROT,0.002576237777248025
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 16 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,0.16980557983893377,0.02,0.55275,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:44:01Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,14.562981,,,0.6644998788833618,0.04615452140569687,hold,2.0,5.0,0.0,TROT,0.11283578723669052
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 26 --yaw-moment off,705.2521417572029,0.02,0.5454545454545454,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,44,,0,,0,2026-09-01T07:44:42Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,0.86,0.08700721710920334,-0.36957594752311707,off,nan,0.0,0.0,TROT,-61.36202621459961
