task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cmd_mean_feet_down,cmd_frac_below_3_feet
2,sphere_bump_lips,0,0,0,1,heading-only,0.04,0.44497352838516235,1.441487503051757,0.7873948142073182,1.1937407863750886,15.91482966519014,0,roll,14.0,-57.627519707056166,-4.116251407646869,0.3312820494174957,-0.0396447479724884,-0.03989374978201735,-0.5585124969482429,1.8121477264313606,1,14.0,91.01161637115604,-0.2014824755482051,91.01161637115604,14.738359361648623,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,1,0,0,1,heading-only,0.04,1.1215148925781264,2.3096572875976555,0.332646215791809,0.4890180081576591,14.881707117381957,1,timeout,20.0,73.68846826288802,3.684423413144401,0.32532215118408203,0.006075744628906321,0.015482864379882777,0.30965728759765554,10.583940492000659,0,20.0,-3.079359540668869,-8.122277987984852,6.7448132382213855,8.512011446690707,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,2,0,1,1,heading-only,0.04,4.31387634277344,1.5556671142578118,3.343532283161844,1.2151520905445659,11.444752335316347,0,roll,18.42,-10.185100593924034,-0.5529370572162884,0.3288627862930298,0.17990642468911183,-0.024122306500661682,-0.4443328857421882,-0.053642176600358894,1,18.42,89.20540733997933,0.055844728365670324,89.20540733997933,16.94222467417183,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,3,0,1,1,heading-only,0.04,1.7619522094726676,1.3678638458251946,0.9900339827173578,1.2874419164297413,13.752583510461873,0,roll,7.62,-30.762818746622827,-4.037115321079111,0.32624539732933044,0.09999372827725296,-0.08295750054787472,-0.6321361541748054,-0.7046537402843024,1,7.62,88.82206522608712,-6.049781505716967,88.82206522608712,11.224588188317822,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,4,0,1,1,heading-only,0.04,3.684347534179693,2.4363052368164055,2.719574221073957,0.5514775262840832,11.174173671782285,1,timeout,20.0,51.747199479175066,2.5873599739587534,0.3242439925670624,0.13421737670898465,0.021815261840820277,0.43630523681640554,0.33645383025037223,0,20.0,-4.571037517147732,-2.383009994639893,13.039885486704332,8.044860127677001,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,5,0,1,1,heading-only,0.04,2.291015625,1.3801414489746087,1.4321124143283719,1.3017554236851663,12.274645515442542,0,roll,13.4,-32.291323322753584,-2.409800247966685,0.3258349299430847,0.09634444962686567,-0.046258100822790395,-0.6198585510253913,-0.43654770778478036,1,13.4,87.62497785987391,-8.655087099759013,87.62497785987391,18.512321930247246,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,6,0,1,1,heading-only,0.04,1.8912902832031477,2.026175689697265,0.8916745682498042,0.6702469327229719,12.258737662884414,1,timeout,20.0,2.950661187953955,0.14753305939769773,0.32306432723999023,0.04456451416015739,0.0013087844848632458,0.026175689697264914,0.05778000031092662,0,20.0,0.5743792689719899,-4.903257290181905,8.171959237615594,6.207862744926396,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,7,0,1,1,heading-only,0.04,4.2738677978515796,2.0257961273193352,3.2739694253297826,1.3792885325553181,9.376167687938894,1,timeout,20.0,-15.9559849154642,-0.7977992457732099,0.32341933250427246,0.16369338989257898,0.0012898063659667613,0.025796127319335227,-0.08506283373939233,0,20.0,6.62267694678723,-1.2201094059159807,8.28249223730099,6.687451859879537,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,8,0,1,1,heading-only,0.04,4.575512695312511,1.7925159454345696,3.5815277001916166,2.258736895704603,8.876912444873957,1,timeout,20.0,4.86159548576623,0.2430797742883115,0.32973581552505493,0.17877563476562558,-0.01037420272827152,-0.2074840545654304,0.02373109966521811,0,20.0,-1.137693661966719,-2.7230712990198684,11.329616149964037,9.490826153473712,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
2,sphere_bump_lips,9,0,1,1,heading-only,0.04,5.568762207031284,2.2602493286132805,4.576168464713797,2.6554276774110215,7.585703407501541,1,timeout,20.0,5.732864972063538,0.2866432486031769,0.3236110508441925,0.2284381103515642,0.013012466430664027,0.26024932861328054,0.021900323282479896,0,20.0,-2.6542989171386036,-3.1240017844710004,8.275924305130244,5.681224836881844,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,0,0,1,1,heading-only,0.04,1.8007692098617554,1.4360969543457003,0.9793967389984588,0.9122012904408185,8.917078854705883,0,roll,6.54,-11.309492034968088,-1.7292801276709615,0.33875772356987,0.12244177520821947,-0.08622370728659016,-0.5639030456542997,-0.2464978302204499,1,6.54,85.9501457905106,-2.6839332016820157,85.9501457905106,22.434459552564554,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,1,0,1,1,heading-only,0.04,1.7027603149414077,2.576948928833005,0.9092536096920916,1.017676509518362,9.165416734791298,0,roll,7.86,33.6682637050794,4.283494110060992,0.35546839237213135,0.08940970928007731,0.07340317160725254,0.576948928833005,0.8361628318928812,1,7.86,-87.06213620565079,-5.072859811152026,87.06213620565079,25.636298105609832,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,2,0,1,1,heading-only,0.04,1.840998840332034,2.5608089447021456,1.0108341713148405,0.8405727882376457,8.826834546058377,0,roll,6.92,-12.764671361403316,-1.844605688064063,0.3476789593696594,0.12153162432543846,0.08104175501476092,0.5608089447021456,-0.2649058863191263,1,6.92,-88.3474722928598,-2.9031822037783397,88.3474722928598,20.263609982919245,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,3,0,1,1,heading-only,0.04,1.6296356201171989,2.5910118103027315,0.8635600581532714,0.9226428126027599,9.339083848735136,0,roll,5.5600000000000005,13.189926584619116,2.372288954068186,0.3294486701488495,0.11324381656784151,0.10629708818394451,0.5910118103027315,0.36562043131404115,1,5.5600000000000005,-86.81269179198901,-4.852735803855134,86.81269179198901,19.241050606344615,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,4,0,1,1,heading-only,0.04,1.6450103759765682,2.618281173706052,0.8934819499445789,0.9061949906190117,8.627173235730824,0,roll,5.8,17.596014453454956,3.0337955954232685,0.3353109657764435,0.11120868551320141,0.10660020236311239,0.6182811737060518,0.4761293754016386,1,5.8,-89.11231278574323,-9.427907546375724,89.11231278574323,15.076030583300462,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
3,forward_ramp_no_lips,5,0,1,1,heading-only,0.04,1.6787567138671875,2.622793960571286,0.9211856457543462,0.851573833892263,9.092597377731718,0,roll,5.5600000000000005,5.800506579338986,1.0432565790178032,0.32841983437538147,0.12207854565956609,0.11201330226102268,0.6227939605712862,0.14915202461314916,1,5.5600000000000005,-87.83491670970139,-3.012021770389232,87.83491670970139,20.6652032816541,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
