task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
4,flush_a_frame,1,0,1,1,off,0.0,1.422952270507814,2.7678512573242173,0.8766322926416164,1.5609108056381336,12.89992068894202,0,roll,7.66,34.17376645232932,4.461327213097822,0.33720868825912476,0.055215701110680665,-86.41609348894455,1.451322631305259,86.41609348894455,13.81442024447137,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,2,0,1,1,off,0.0,1.8067047119140653,2.471346282958983,0.9343124802139833,1.0165480606303041,11.502956311209633,0,roll,9.08,-8.909272868786047,-0.9811974525094765,0.35023266077041626,0.08884413126806887,-87.61117805395025,-4.918734931622426,87.61117805395025,18.03606428964153,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,3,0,1,1,off,0.0,1.5002716064453239,2.6754631042480455,0.8405486811695031,1.1984888462236154,13.216999662132627,0,roll,5.5600000000000005,20.75836903289982,3.7335196102337807,0.3341440260410309,0.08997690763405104,-88.57348722193397,-4.311709233103882,88.57348722193397,18.388033631439132,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,4,0,1,1,off,0.0,1.3889984130859432,2.698091888427733,0.799157087231278,1.306396156914422,12.83000755824418,0,roll,3.8000000000000003,9.742151541281686,2.56372408981097,0.33326825499534607,0.10236800344366925,-88.75589475238057,10.226646866785208,88.75589475238057,14.441386254711425,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,5,0,1,1,off,0.0,1.5049591064453125,1.4392494201660142,0.7546024860588518,1.446201341893516,13.406772980579131,0,roll,6.640000000000001,-26.36986019218412,-3.9713644867747164,0.3303150236606598,0.07604805819959524,87.57875252192464,0.202847593124892,87.57875252192464,18.09433669266121,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,6,0,0,1,off,0.0,0.8666168212890852,1.4561752319335923,0.559943256701525,0.8348171233488354,14.343696131963867,0,roll,4.44,-32.11461469290006,-7.233021327229743,0.32957711815834045,-0.03004125646642224,90.8272440124153,1.664301838389666,90.8272440124153,16.799764607213106,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,7,0,1,1,off,0.0,1.5379058837890796,2.678499603271483,0.8658547519384937,1.3436883380550149,12.181005500500042,0,roll,6.74,22.98837549909635,3.410738204613702,0.33086127042770386,0.07980799462745987,-87.11367109057379,3.454027919762723,87.11367109057379,14.594338280005996,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,8,0,1,1,off,0.0,1.1937988281250114,2.786451721191405,0.8099779599146824,1.4914609252011584,12.63070917627144,0,roll,8.74,58.70297392158852,6.716587405216078,0.3347064256668091,0.022173778961671782,-87.61080336059271,-7.232433424196307,87.61080336059271,19.681176051485412,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
4,flush_a_frame,9,0,1,1,off,0.0,1.276190185546909,2.74241485595703,0.7921242559965788,1.3888174043379655,12.745450796763468,0,roll,5.6000000000000005,42.10982167792599,7.519611013915355,0.32676342129707336,0.04931967599051948,-93.2022496306034,-6.588512359413759,93.2022496306034,14.70372066973084,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
5,sphere_bump,0,0,0,1,off,0.0,1.0222585201263428,2.0617027282714844,0.0655947284037326,0.4817096098979308,14.927869001187569,1,timeout,20.0,5.105594546401932,0.25527972732009657,0.3410384953022003,0.0011129260063171386,-6.128532433615839,6.1218016896784855,12.73193035864105,7.939856591185633,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
5,sphere_bump,1,0,1,1,off,0.0,1.1610122680664077,1.3775482177734375,0.6429394774509594,1.9946322052115895,14.402444728966419,0,roll,2.82,-18.1226803636672,-6.426482398463547,0.32352346181869507,0.05709654895971904,86.56450292373184,7.215748195104096,86.56450292373184,15.561773103958611,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
5,sphere_bump,2,0,1,1,off,0.0,1.3517257690429716,1.3787307739257812,0.7139232927112887,1.6074245441517157,14.01205398563475,0,roll,3.0,8.607149187262365,2.8690497290874553,0.32446056604385376,0.11724192301432386,90.06063904445637,-6.863865904427761,90.06063904445637,9.313573848141681,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
5,sphere_bump,3,0,1,1,off,0.0,1.6677368164062614,2.6266937255859375,0.9157606028177624,1.9557155292078747,12.997380597404323,0,roll,5.96,13.47911063645924,2.2615957443723556,0.3268665671348572,0.11203637859165459,-87.1999791808198,9.82264972899649,87.1999791808198,14.640571229228243,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
5,sphere_bump,4,0,0,1,off,0.0,1.2046875000000057,2.7449111938476562,0.7725216238888027,0.8013127725025898,13.366086129057225,0,roll,2.88,5.813229794332784,2.0184825674766613,0.32837387919425964,0.07107204861111309,-90.30946583512738,1.0147172093220436,90.30946583512738,8.681489025426128,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
