task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
1,forward_ramp_lips,6,0,1,1,off,0.0,1.6942535400390852,1.8463216781616207,0.7110590724123153,0.7693063526959821,11.9567341043226,1,timeout,20.0,-33.26541439840565,-1.6632707199202827,0.32377195358276367,0.03471267700195426,-1.65932365096308,-5.713841599290214,10.355106784330255,10.693696276186595,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,7,0,1,1,off,0.0,1.2126800537109546,1.490377044677734,0.5522212978850914,1.4305367827824134,12.14801428362583,0,roll,8.2,-63.41055487656186,-7.732994497141691,0.3330380916595459,0.02593659191597007,88.62226467412323,-3.788200312890534,88.62226467412323,16.670376426621793,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,8,0,1,1,off,0.0,1.5105102539062614,1.2123485565185543,0.9386242676182203,1.2128908753642316,12.464401306905573,0,roll,5.46,-8.51561683837025,-1.5596367835842948,0.33676639199256897,0.09350004650297827,88.20688829344377,-4.703347168452936,88.20688829344377,14.46169095948794,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,9,0,1,1,off,0.0,1.719488525390659,1.8448167800903317,0.7360336744404821,0.7297118828856501,11.73153789098781,1,timeout,20.0,-44.62824200061462,-2.231412100030731,0.32644033432006836,0.035974426269532955,1.1283749464783739,-4.478361297454517,6.69839159351369,9.171644809061615,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,0,0,0,1,off,0.0,0.6088207960128784,2.7020751953124993,0.8036981706493316,1.1345086837447318,15.756828117102431,0,roll,1.22,-7.909258491151519,-6.48299876323895,0.3137686252593994,-0.32063869179272264,-88.85940695424773,2.8176006811303345,88.85940695424773,13.701300051915636,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,1,0,0,1,off,0.0,0.9358001708984389,1.4985382080078118,0.5055546922783788,0.7548412919192004,15.072543926621396,0,roll,6.640000000000001,-35.54309824512754,-5.352876241736075,0.32165130972862244,-0.009668648961078476,87.8966917499857,-0.7401988637885093,87.8966917499857,14.130833549748102,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,2,0,1,1,off,0.0,1.1754943847656278,1.4870140075683587,0.5421742409183068,1.9245494275461055,14.583530730139712,0,roll,3.8000000000000003,-20.171502928317267,-5.308290244294017,0.324237585067749,0.04618273283305996,92.52994517521788,-6.930062725308155,92.52994517521788,17.21599581006231,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,3,0,1,1,off,0.0,1.8169830322265739,1.3211242675781243,1.0622304528761475,1.2853462444504624,13.699847648804232,0,roll,9.66,-28.63093037536194,-2.9638644280912985,0.33066001534461975,0.08457381285989378,89.94871422486281,0.14314254418803746,89.94871422486281,15.333833642168592,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,4,0,1,1,off,0.0,1.6382812500000057,0.9906475067138665,1.1942342357362328,2.315351247738673,13.250219046672557,0,roll,14.0,-51.81367668543061,-3.7009769061021864,0.32934093475341797,0.045591517857143264,90.75626151929357,1.404917509246684,90.75626151929357,16.055696190863205,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,5,0,1,1,off,0.0,3.2110595703125,3.0103237152099602,2.4309542227253385,0.6203460852666715,11.383862441083767,1,timeout,20.0,9.754188746270131,0.4877094373135066,0.33015280961990356,0.110552978515625,1.450901023081658,-0.9129642585924714,11.450715323578745,7.856783206878402,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
2,sphere_bump_lips,6,0,1,1,off,0.0,1.3087249755859602,2.7236415863037102,0.7867453565027899,1.3674166723318617,12.861648471252357,0,roll,4.92,-2.701805965330607,-0.5491475539289852,0.3229125440120697,0.06274897877763419,-87.23617578241546,-12.348536447733544,87.23617578241546,14.443184893476214,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
