argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.14998827054354,on,5,4,heading-only,0.0,0,0.04,obstacle,0.025,20,skill.ROUGHNESS_TROT_MAX,roughness_0p03,0,1,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999964,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.155559738727903,on,5,4,heading-only,0.0,0,0.04,obstacle,0.03,20,skill.ROUGHNESS_TROT_MAX,roughness_0p03,0,1,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.1818835153182885,on,5,4,heading-only,0.0,0,0.04,obstacle,0.035,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,1,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999929,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.176813593082623,on,5,4,heading-only,0.0,0,0.04,obstacle,0.04,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,1,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.142801698938661,on,5,4,heading-only,0.0,0,0.04,obstacle,0.045,20,skill.ROUGHNESS_TROT_MAX,roughness_0p04,0,1,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999982,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.139110887680468,on,5,4,heading-only,0.0,0,0.04,obstacle,0.05,20,skill.ROUGHNESS_TROT_MAX,roughness_0p05,0,1,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999964,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.1559257126992355,on,5,4,heading-only,0.0,0,0.04,obstacle,0.055,20,skill.ROUGHNESS_TROT_MAX,roughness_0p06,0,1,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,6,roughness,1,5.1531626003498445,on,5,4,heading-only,0.0,0,0.04,obstacle,0.06,20,skill.ROUGHNESS_TROT_MAX,roughness_0p06,0,1,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999929,0.0,1816,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,15,slope,1,1.6871450148422058,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,skill.SLOPE_WALK_MAX,slope_5p00,1,2,2026-08-31T02:22:09Z,goal,WALK,1.0,0.0,1841,0.0,1,29.26,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,15,slope,1,2.7999987824768096,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,skill.SLOPE_WALK_MAX,slope_10p00,0,2,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1841,0.0,1,nan,,
