argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.739562908158925,on,5,4,heading-only,0.0,0,0.04,obstacle,0.05,20,probe.roughness@WALK,roughness_0p050,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,0,2.210278460717637,on,5,4,heading-only,0.0,0,0.04,obstacle,0.055,20,probe.roughness@WALK,roughness_0p055,0,1,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,7,roughness,1,2.593807028016207,on,5,4,heading-only,0.0,0,0.04,obstacle,0.06,20,probe.roughness@WALK,roughness_0p060,0,1,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,2942,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,1.6871450148422058,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,probe.slope@WALK,slope_5p00,1,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,29.26,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.7999987824768096,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,probe.slope@WALK,slope_10p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.873724268753605,on,5,4,heading-only,0.0,0,0.04,obstacle,15.0,20,probe.slope@WALK,slope_15p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.817433843968649,on,5,4,heading-only,0.0,0,0.04,obstacle,20.0,20,probe.slope@WALK,slope_20p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.8622729529779773,on,5,4,heading-only,0.0,0,0.04,obstacle,25.0,20,probe.slope@WALK,slope_25p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.92372723416662,on,5,4,heading-only,0.0,0,0.04,obstacle,30.0,20,probe.slope@WALK,slope_30p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,2.866859742774636,on,5,4,heading-only,0.0,0,0.04,obstacle,35.0,20,probe.slope@WALK,slope_35p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,slope,1,3.143574249514265,on,5,4,heading-only,0.0,0,0.04,obstacle,40.0,20,probe.slope@WALK,slope_40p00,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,5.994677156351547,on,5,4,heading-only,0.0,0,0.04,obstacle,0.005,20,probe.roughness@WALK,roughness_0p005,1,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,22.48,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,0.9408725940045716,on,5,4,heading-only,0.0,0,0.04,obstacle,0.01,20,probe.roughness@WALK,roughness_0p010,1,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1841,0.0,1,24.3,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,1.7713391089730048,on,5,4,heading-only,0.0,0,0.04,obstacle,0.015,20,probe.roughness@WALK,roughness_0p015,0,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,2.278617572490316,on,5,4,heading-only,0.0,0,0.04,obstacle,0.02,20,probe.roughness@WALK,roughness_0p020,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,2.768218043218408,on,5,4,heading-only,0.0,0,0.04,obstacle,0.025,20,probe.roughness@WALK,roughness_0p025,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,2.20218665083117,on,5,4,heading-only,0.0,0,0.04,obstacle,0.03,20,probe.roughness@WALK,roughness_0p030,0,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,2.6635042978601464,on,5,4,heading-only,0.0,0,0.04,obstacle,0.035,20,probe.roughness@WALK,roughness_0p035,0,2,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1841,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,15,roughness,1,2.81919522230894,on,5,4,heading-only,0.0,0,0.04,obstacle,0.04,20,probe.roughness@WALK,roughness_0p040,0,2,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1841,0.0,1,nan,,
