switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,jump_on_and_off_box,6,WALK,13.5,17.6,4.2288,5.04217,4.1
0,jump_on_and_off_box,6,RUN,17.6,18.8,5.04217,5.61812,1.2
0,jump_on_and_off_box,6,WALK,18.8,22.6,5.61812,6.37805,3.8
0,jump_on_and_off_box,6,RUN,22.6,23.4,6.37805,6.76201,0.8
0,jump_on_and_off_box,6,WALK,23.4,27.3,6.76201,7.52982,3.9
0,jump_on_and_off_box,6,RUN,27.3,28.5,7.52982,8.10522,1.2
0,jump_on_and_off_box,6,WALK,28.5,32.4,8.10522,8.8844,3.9
0,jump_on_and_off_box,6,RUN,32.4,32.8,8.8844,9.0762,0.4
0,jump_on_and_off_box,6,WALK,32.8,36.9,9.0762,9.89145,4.1
0,jump_on_and_off_box,6,RUN,36.9,38.1,9.89145,10.4662,1.2
0,jump_on_and_off_box,6,WALK,38.1,42,10.4662,11.2445,3.9
0,jump_on_and_off_box,6,RUN,42,42.8,11.2445,11.6276,0.8
0,jump_on_and_off_box,6,WALK,42.8,46.9,11.6276,12.4423,4.1
0,jump_on_and_off_box,6,RUN,46.9,48.1,12.4423,13.0181,1.2
0,jump_on_and_off_box,6,WALK,48.1,51.9,13.0181,13.7779,3.8
0,jump_on_and_off_box,6,RUN,51.9,52.4,13.7779,14.0179,0.5
0,jump_on_and_off_box,6,WALK,52.4,56.3,14.0179,14.7912,3.9
0,jump_on_and_off_box,6,RUN,56.3,60.7,14.7912,16.9,4.4
0,jump_on_and_off_box,7,TROT,0,0,1,1,0
0,jump_on_and_off_box,7,WALK,0,3.7,1,1.73989,3.7
0,jump_on_and_off_box,7,RUN,3.7,3.9,1.73989,1.83585,0.2
0,jump_on_and_off_box,7,WALK,3.9,8,1.83585,2.64501,4.1
0,jump_on_and_off_box,7,RUN,8,9.1,2.64501,3.17277,1.1
0,jump_on_and_off_box,7,WALK,9.1,12.9,3.17277,3.93244,3.8
0,jump_on_and_off_box,7,RUN,12.9,13.2,3.93244,4.07637,0.3
0,jump_on_and_off_box,7,WALK,13.2,17.3,4.07637,4.88592,4.1
0,jump_on_and_off_box,7,RUN,17.3,18.4,4.88592,5.41384,1.1
0,jump_on_and_off_box,7,WALK,18.4,22.3,5.41384,6.19372,3.9
0,jump_on_and_off_box,7,RUN,22.3,22.4,6.19372,6.24171,0.1
0,jump_on_and_off_box,7,WALK,22.4,26.4,6.24171,7.02682,4
0,jump_on_and_off_box,7,RUN,26.4,27.5,7.02682,7.55373,1.1
0,jump_on_and_off_box,7,WALK,27.5,31.4,7.55373,8.33211,3.9
0,jump_on_and_off_box,7,RUN,31.4,32.2,8.33211,8.71532,0.8
0,jump_on_and_off_box,7,WALK,32.2,36.1,8.71532,9.49207,3.9
0,jump_on_and_off_box,7,RUN,36.1,37.2,9.49207,10.0196,1.1
0,jump_on_and_off_box,7,WALK,37.2,41,10.0196,10.7789,3.8
0,jump_on_and_off_box,7,RUN,41,41.9,10.7789,11.2105,0.9
0,jump_on_and_off_box,7,WALK,41.9,45.9,11.2105,11.99,4
0,jump_on_and_off_box,7,RUN,45.9,47,11.99,12.5175,1.1
0,jump_on_and_off_box,7,WALK,47,50.8,12.5175,13.2768,3.8
0,jump_on_and_off_box,7,RUN,50.8,51.7,13.2768,13.7083,0.9
0,jump_on_and_off_box,7,WALK,51.7,55.6,13.7083,14.48,3.9
0,jump_on_and_off_box,7,RUN,55.6,60,14.48,16.55,4.4
0,jump_on_and_off_box,8,TROT,0,0,1,1,0
0,jump_on_and_off_box,8,WALK,0,3.7,1,1.73993,3.7
0,jump_on_and_off_box,8,RUN,3.7,4.4,1.73993,2.07583,0.7
0,jump_on_and_off_box,8,WALK,4.4,8.5,2.07583,2.88864,4.1
0,jump_on_and_off_box,8,RUN,8.5,9.6,2.88864,3.41632,1.1
0,jump_on_and_off_box,8,WALK,9.6,13.4,3.41632,4.17587,3.8
0,jump_on_and_off_box,8,RUN,13.4,13.9,4.17587,4.41572,0.5
0,jump_on_and_off_box,8,WALK,13.9,17.8,4.41572,5.18306,3.9
0,jump_on_and_off_box,8,RUN,17.8,18.9,5.18306,5.71001,1.1
0,jump_on_and_off_box,8,WALK,18.9,22.8,5.71001,6.48847,3.9
0,jump_on_and_off_box,8,RUN,22.8,23.3,6.48847,6.72799,0.5
