argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,foot_len_bias,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.571689784526825,3,step_down,1,4.496562312641368,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,273,0.0,1,nan,-44.50683615848507,55.89844911543929
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.4329547584056854,3,step_down,1,4.412770955616558,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_down@TURN,step_down_0p06,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,273,0.0,1,nan,-46.498520728700385,67.12729085449331
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.43238505721092224,3,gap,1,3.9671020635612884,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.05,9,probe.gap@TURN,gap_0p05,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,273,0.0,1,nan,-49.19382219520611,67.85736946291959
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.39530476927757263,3,gap,1,3.978761073671043,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.1,9,probe.gap@TURN,gap_0p10,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,273,0.0,1,nan,-47.13572519446001,66.8228812915057
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.5287272930145264,3,gap,1,4.132230071668041,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.15,9,probe.gap@TURN,gap_0p15,0,3,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,273,0.0,1,nan,-45.88276279783062,57.01689949246497
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.1831008791923523,4,step_up,0,3.8399458156672965,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_up@TURN,step_up_0p02,1,4,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,280,0.0,1,5.5,-92.47871075352256,92.47871075352256
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.14737345278263092,4,step_up,0,3.874128887710575,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_up@TURN,step_up_0p04,1,4,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,280,0.0,1,5.58,-90.12142656678881,90.12142656678881
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.19522035121917725,4,step_up,0,3.8294102862368082,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_up@TURN,step_up_0p06,1,4,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999964,0.0,280,0.0,1,5.38,-96.1873952053945,96.1873952053945
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.1898069977760315,4,step_down,0,3.8351681859762925,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,1,4,2026-08-31T15:46:57Z,inplace,1,TURN,1.0,0.0,280,0.0,1,5.4,-95.91072287112439,95.91072287112439
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 45 --foot-comp on --heading off --results-csv outputs/turn_phase_sweep.csv,0.18540968000888824,4,step_down,0,3.8390012565291993,on,0.0,0.0,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,1,4,2026-08-31T15:46:57Z,inplace,1,TURN,0.9999999999999982,0.0,280,0.0,1,5.4,-96.04750517578691,96.04750517578691
