task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
forward_ramp_no_lips,3,0,0.06,0.05,0.00316793,0.035,0.035,0.0248786,0.035,0.035,0.0248786,0,near_edge,0,0,0,0,0,0,4,0,8,8,45.3,9.75892,False,False,5,1,0,0,0,0,0.935982,0.00220751,0.0618102,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,4,0,0.06,0.05,0.00316793,0.035,0.035,0.0278723,0.035,0.035,0.0278723,0,near_edge,0,0,0,0,0,0,4,0,8,8,47,10.1059,False,False,5,1,0,0,0,0,0.938298,0.00212766,0.0595745,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,5,0,0.06,0.05,0.00316793,0.04,0.04,0.0277966,0.04,0.04,0.0277966,0,near_edge,0,0,0,0,0,0,4,0,8,8,47.2,10.2174,False,False,5,1,0,0,0,0,0.934322,0.00423729,0.0614407,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,6,0,0.06,0.05,0.00316793,0.045,0.045,0.0340583,0.045,0.045,0.0340583,0,near_edge,0,0,0,0,0,0,4,0,8,8,44.6,9.65526,False,False,5,1,0,0,0,0,0.932735,0.00224215,0.0650224,0,TROT→RUN→TROT→WALK→RUN
forward_ramp_no_lips,7,0,0.06,0.05,0.00316793,0.045,0.045,0.0371667,0.045,0.045,0.0371667,0,near_edge,0,0,0,0,0,0,2,0,8,8,45,9.75756,False,False,3,1,0,0,0,0,0.931111,0.00444444,0.0644444,0,TROT→WALK→RUN
forward_ramp_no_lips,8,0,0.06,0.05,0.00316793,0.045,0.045,0.0345406,0.045,0.045,0.0345406,0,near_edge,0,0,0,0,0,0,2,0,8,8,46.8,10.1576,False,False,3,1,0,0,0,0,0.931624,0.0042735,0.0641026,0,TROT→WALK→RUN
forward_ramp_no_lips,9,0,0.06,0.05,0.00316793,0.05,0.05,0.0371368,0.05,0.05,0.0371368,0,near_edge,0,0,0,0,0,0,2,0,8,8,46.8,10.1703,False,False,3,1,0,0,0,0,0.931624,0.0042735,0.0641026,0,TROT→WALK→RUN
flush_a_frame,0,0,0.06,0.05,0.00316793,0.05,0.04,0.0246327,0.05,0.04,0.0246327,0,near_edge,0,0,0,0,0,0,3,0,8,8,66.7,14.1064,False,False,4,1,0,0,0,0,0.955022,0.0089955,0.035982,0,TROT→WALK→TROT→RUN
flush_a_frame,1,0,0.06,0.05,0.00316793,0.065,0.045,0.0280666,0.065,0.045,0.0280666,11,near_edge,0,0,0,4,0,3,3,1,8,8,63.1,13.1085,False,False,5,1,0,0,0,0,0.942948,0.00158479,0.0427892,0.0126783,TROT→WALK→JUMP→WALK→RUN
flush_a_frame,2,0,0.06,0.05,0.00316793,0.045,0.045,0.0276466,0.045,0.045,0.0276466,0,near_edge,0,0,0,0,0,0,2,0,8,8,63.1,13.3114,False,False,3,1,0,0,0,0,0.955626,0,0.044374,0,TROT→WALK→RUN
