task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,partial,skill,start_phase,foot_comp,steps
7,box_jump_uneven,5,0,1,1,heading-only,0.04,1.3083953857421875,2.522536468505855,0.6067553665734182,1.2222203921523167,11.053962041662611,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,6,0,1,1,heading-only,0.04,1.4872985839843977,2.6510040283203082,0.8131827315200858,1.0936601663789225,10.3332287664979,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,7,0,1,1,heading-only,0.04,1.399707031250017,2.5975753784179645,0.7189311814924121,1.2089457270518753,11.415943942846832,0,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,8,0,1,1,heading-only,0.04,1.7841308593750114,2.2328826904296832,0.8179826111391131,0.8836193768265915,11.118308373983885,1,,,,,,,off,5.0,0,WALK,first,on,1000
7,box_jump_uneven,9,0,1,1,heading-only,0.04,1.340399169921909,2.626399230957027,0.7129148556644612,1.3559912364901021,11.67641501117964,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,0,0,1,1,heading-only,0.04,1.9629744291305542,1.4367340087890597,1.1156111903410435,0.7179051471790374,6.81035863053412,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,1,0,1,1,heading-only,0.04,1.9525657653808608,1.4344604492187472,1.1077980505820935,0.6872825907125274,7.369167172452479,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,2,0,1,1,heading-only,0.04,2.176722717285159,1.1784179687499972,1.4351562240564089,1.024031801443567,7.816574489381109,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,3,0,1,1,heading-only,0.04,1.9353607177734489,1.599674987792966,1.0174280258338786,0.8630952133585852,8.474100441557882,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,4,0,1,1,heading-only,0.04,2.731863403320318,1.050022888183591,1.9752993091517248,1.014013875299401,8.024565865909565,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,5,0,1,1,heading-only,0.04,2.6983184814453125,1.2824295043945284,1.8436900717263178,0.7325722525733561,8.980395839037227,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,6,0,1,1,heading-only,0.04,2.1276641845703352,1.6638381958007784,1.1767035615502976,0.9037378893484396,10.177888813524925,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,7,0,1,1,heading-only,0.04,2.7318450927734546,1.7170913696289034,1.7548004782601199,0.8161538443530424,10.122109267330153,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,8,0,1,1,heading-only,0.04,2.2533081054687614,1.7040374755859347,1.287779104928808,1.2044647162052524,10.900710438324644,0,,,,,,,off,5.0,0,WALK,first,on,1000
8,flat_circle_jump,9,0,1,1,heading-only,0.04,2.820379638671909,0.8179443359374972,2.1704924837081365,1.458001737703308,11.043066551996908,0,,,,,,,off,5.0,0,WALK,first,on,1000
